id_bank_account,max_date,balance
1777,2023-10-11 22:00:00,-15.24
1778,2024-03-03 23:00:00,-443.17
1780,2024-03-03 23:00:00,2925.13
1781,2023-07-16 22:00:00,53.28
1785,2024-02-20 23:00:00,118.67
1789,2021-11-07 23:00:00,257.11
1792,2021-11-07 23:00:00,794.05
1794,2022-05-19 22:00:00,149957.3
1795,2021-11-08 23:00:00,29123.75
1799,2024-03-03 23:00:00,2052.61
1804,2021-11-05 23:00:00,21824.2
1805,2024-03-03 23:00:00,1.45
1808,2021-11-02 23:00:00,1517.21
1809,2023-04-12 22:00:00,2324.9
1812,2022-05-17 22:00:00,426.49
1817,2021-12-01 23:00:00,0.0
1823,2024-03-03 23:00:00,748.77
1825,2022-09-15 22:00:00,59.14
1826,2024-03-03 23:00:00,2341.35
1829,2023-12-07 23:00:00,-25.85
1832,2024-03-04 23:00:00,0.62
1835,2021-09-30 22:00:00,1321.54
1836,2021-12-14 23:00:00,2751.29
1839,2024-02-29 23:00:00,510.0
1842,2024-02-27 23:00:00,1494.03
1846,2024-03-03 23:00:00,1696.83
1847,2022-08-07 22:00:00,0.13
1852,2024-03-03 23:00:00,109.94
1856,2023-05-16 22:00:00,444.79
1861,2024-02-29 23:00:00,11.84
1862,2023-09-11 22:00:00,18.94
1873,2024-01-21 23:00:00,50.52
1877,2022-07-12 22:00:00,-199.4
1880,2022-01-02 23:00:00,-8.9
1882,2022-01-02 23:00:00,-8.9
1893,2023-11-22 23:00:00,1772.86
1899,2022-05-19 22:00:00,3821.56
1900,2023-11-01 23:00:00,2.96
1907,2024-03-03 23:00:00,130.05
1909,2024-03-03 23:00:00,6379.19
1912,2024-03-03 23:00:00,4404.72
1924,2023-07-31 22:00:00,68.51
1927,2023-04-20 22:00:00,-27.17
1928,2023-12-26 23:00:00,0.0
1934,2024-02-25 23:00:00,81.44
1935,2024-02-11 23:00:00,-95.57
1937,2022-05-30 22:00:00,6670.46
1938,2022-11-15 23:00:00,-92.39
1940,2023-10-30 23:00:00,2169.59
1948,2022-07-14 22:00:00,-50.87
1950,2022-10-16 22:00:00,-108.4
1954,2022-05-26 22:00:00,776.73
1957,2023-05-11 22:00:00,9.38
1958,2022-10-16 22:00:00,-108.4
1960,2022-05-15 22:00:00,232.28
1964,2023-05-18 22:00:00,202.34
1968,2022-07-14 22:00:00,-50.87
1976,2022-12-01 23:00:00,1510.86
1977,2024-02-20 23:00:00,-298.6
1981,2023-07-16 22:00:00,12140.72
1983,2023-05-18 22:00:00,535.85
1984,2022-06-21 22:00:00,37.35
1992,2023-11-01 23:00:00,-421.58
1996,2023-02-26 23:00:00,7.57
2000,2023-07-16 22:00:00,9645.47
2001,2024-03-03 23:00:00,2693.42
2005,2021-11-14 23:00:00,-39.51
2009,2024-03-03 23:00:00,0.98
2012,2024-01-02 23:00:00,-407.53
2019,2022-01-30 23:00:00,-32.79
2023,2024-02-18 23:00:00,1.38
2025,2024-02-18 23:00:00,1.38
2030,2024-03-03 23:00:00,304.0
2037,2024-01-22 23:00:00,39.33
2040,2024-02-28 23:00:00,28.75
2042,2024-03-03 23:00:00,2065.35
2043,2022-02-10 23:00:00,6.73
2044,2022-07-01 22:00:00,-25.44
2045,2022-04-07 22:00:00,57.37
2047,2022-11-13 23:00:00,36.06
2056,2022-12-01 23:00:00,44.0
2063,2023-10-26 22:00:00,95.33
